Grupo,Ano,Horizonte,Semanas,Baseline_MAE,LGBM_MAE,Baseline_RMSE,LGBM_RMSE,Baseline_R2,LGBM_R2,Razao_MAE
validacao,2016,Semana +4,312.0,178.73,151.47,449.93,512.22,0.6577,0.5564,0.847
treino,2017,Semana +4,689.0,7.14,11.39,12.44,22.77,0.7535,0.1739,1.596
validacao,2017,Semana +4,318.0,14.41,27.47,20.74,46.62,0.696,-0.5361,1.907
treino,2018,Semana +4,676.0,3.86,4.73,6.82,9.29,0.8191,0.6646,1.225
validacao,2018,Semana +4,312.0,34.78,36.14,140.06,123.2,0.2671,0.4329,1.039
treino,2019,Semana +4,676.0,85.27,52.44,227.26,155.84,0.5019,0.7658,0.615
validacao,2019,Semana +4,312.0,250.21,179.01,466.87,395.21,0.6004,0.7136,0.715
treino,2020,Semana +4,676.0,21.41,24.19,41.82,55.31,0.6898,0.4574,1.13
validacao,2020,Semana +4,312.0,100.1,101.54,240.77,242.16,0.53,0.5245,1.014
treino,2021,Semana +4,676.0,26.69,15.56,76.26,44.56,0.6291,0.8734,0.583
validacao,2021,Semana +4,312.0,119.31,80.85,251.88,190.86,0.6448,0.7961,0.678
treino,2022,Semana +4,676.0,68.92,40.92,143.98,81.43,0.4156,0.8131,0.594
validacao,2022,Semana +4,312.0,156.99,133.62,266.74,223.86,0.563,0.6922,0.851
treino,2023,Semana +4,689.0,57.76,43.22,135.67,108.76,0.5541,0.7134,0.748
validacao,2023,Semana +4,318.0,294.46,168.65,563.66,308.05,0.4898,0.8476,0.573
treino,2024,Semana +4,676.0,289.8,218.24,804.76,698.23,0.6909,0.7673,0.753
validacao,2024,Semana +4,312.0,431.83,407.7,813.27,788.71,0.6408,0.6622,0.944
treino,2025,Semana +4,676.0,199.28,125.66,394.57,278.14,0.6266,0.8145,0.631
validacao,2025,Semana +4,312.0,317.6,271.12,560.45,607.91,0.668,0.6094,0.854
treino,2026,Semana +4,298.0,29.79,31.78,50.07,59.03,0.8511,0.7931,1.067
validacao,2026,Semana +4,138.0,64.69,70.37,85.23,100.78,0.7053,0.588,1.088
