data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,receptivo,transmissao,nivel_inc,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,tmin,tmed,tmax,precipitacao,umidade,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,log_casos,var_log_1,var_log_2,var_log_3,var_log_4,semana_ano,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,450.0,450,450,450,0.0,96.77773,0,1,354980520100119589,2023-08-20,Ṣo Jos̩ do Rio Preto,0.0,464983,,,1,187,,,,,511494,22.71,26.59,31.13,37.6,76.14,,,,,,,,,,,,,,,6.111467339502679,,,,,53,605.0,841.0,1194.0,1733.0
2010-01-10,201002,605.0,605,605,605,0.0,130.11229,0,1,354980520100219589,2023-08-20,Ṣo Jos̩ do Rio Preto,0.0,464983,,,1,330,,,,,511494,22.16,24.77,28.67,45.1,83.86,450.0,22.71,0.0,,,,,,,,,,,,6.406879986069314,0.2954126465666356,,,,1,841.0,1194.0,1733.0,2370.0
2010-01-17,201003,841.0,841,841,841,0.0,180.86682,0,1,354980520100319589,2023-08-20,Ṣo Jos̩ do Rio Preto,0.0,464983,,,2,454,,,,,511494,22.01,25.49,30.14,62.2,79.57,605.0,22.16,0.0,450.0,22.71,0.0,,,,,,,,,6.7357800142423265,0.32890002817301234,0.6243126747396479,,,2,1194.0,1733.0,2370.0,3034.0
2010-01-24,201004,1194.0,1194,1194,1194,0.0,256.78357,0,4,354980520100419589,2023-08-20,Ṣo Jos̩ do Rio Preto,0.0,464983,,,2,661,,,,,511494,21.59,24.16,27.83,95.7,85.71,841.0,22.01,0.0,605.0,22.16,0.0,450.0,22.71,0.0,,,,772.5,22.1175,7.085901464365611,0.3501214501232841,0.6790214782962964,0.974434124862932,,3,1733.0,2370.0,3034.0,3032.0
2010-01-31,201005,1733.0,1733,1733,1733,0.0,372.7018,0,4,354980520100519589,2023-08-20,Ṣo Jos̩ do Rio Preto,0.0,464983,,,2,977,,,,,511494,23.06,27.7,32.86,3.1,69.0,1194.0,21.59,0.0,841.0,22.01,0.0,605.0,22.16,0.0,450.0,22.71,0.0,1093.25,22.205,7.458186157340487,0.3722846929748762,0.7224061430981603,1.0513061712711727,1.3467188178378082,4,2370.0,3034.0,3032.0,2504.0
2010-02-07,201006,2370.0,2370,2370,2370,1.0,509.69604,0,4,354980520100619589,2023-08-20,Ṣo Jos̩ do Rio Preto,1.8782883,464983,,1.0,2,1553,,,,,511494,21.74,25.76,31.03,66.2,78.29,1733.0,23.06,0.0,1194.0,21.59,0.0,841.0,22.01,0.0,605.0,22.16,0.0,1534.5,22.099999999999998,7.771067086065406,0.312880928724919,0.6851656216997952,1.0352870718230793,1.3641870999960917,5,3034.0,3032.0,2504.0,2392.0
2010-02-14,201007,3034.0,3034,3034,3034,1.0,652.49695,0,4,354980520100719589,2023-08-20,Ṣo Jos̩ do Rio Preto,1.7182918,464983,,1.0,2,2236,,,,,511494,22.91,26.07,30.59,32.0,77.29,2370.0,21.74,1.8782883,1733.0,23.06,0.0,1194.0,21.59,0.0,841.0,22.01,0.0,2082.75,22.324999999999996,8.017966703493599,0.246899617428193,0.559780546153112,0.9320652391279882,1.2821866892512723,6,3032.0,2504.0,2392.0,2135.0
2010-02-21,201008,3032.0,3032,3032,3032,1.0,652.06683,0,4,354980520100819589,2023-08-20,Ṣo Jos̩ do Rio Preto,1.3007615,464983,,1.0,2,2295,,,,,511494,22.17,26.46,31.63,30.9,75.71,3034.0,22.91,1.7182918,2370.0,21.74,1.8782883,1733.0,23.06,0.0,1194.0,21.59,0.0,2542.25,22.47,8.017307507688582,-0.0006591958050172764,0.24624042162317572,0.5591213503480947,0.931406043322971,7,2504.0,2392.0,2135.0,2076.0
2010-02-28,201009,2504.0,2504,2504,2504,0.00031612808,538.5143,0,4,354980520100919589,2023-08-20,Ṣo Jos̩ do Rio Preto,0.909989,464983,,0.0,2,2179,,,,,511494,21.27,24.54,28.84,42.7,85.29,3032.0,22.17,1.3007615,3034.0,22.91,1.7182918,2370.0,21.74,1.8782883,1733.0,23.06,0.0,2735.0,22.0225,7.826044013518965,-0.19126349416961652,-0.1919226899746338,0.0549769274535592,0.3678578561784782,8,2392.0,2135.0,2076.0,1659.0
2010-03-07,201010,2392.0,2392,2392,2392,2.3139275e-09,514.4274,0,4,354980520101019589,2023-08-20,Ṣo Jos̩ do Rio Preto,0.8498624,464983,,0.0,2,2255,,,,,511494,21.36,26.77,32.53,3.2,69.29,2504.0,21.27,0.909989,3032.0,22.17,1.3007615,3034.0,22.91,1.7182918,2370.0,21.74,1.8782883,2740.5,21.927500000000002,7.780303087908373,-0.045740925610592065,-0.2370044197802086,-0.23766361558522586,0.009236001842967134,9,2135.0,2076.0,1659.0,1420.0
2010-03-14,201011,2135.0,2135,2135,2135,5.9874328e-12,459.1566,0,4,354980520101119589,2023-08-20,Ṣo Jos̩ do Rio Preto,0.8207696,464983,,0.0,2,2060,,,,,511494,22.0,25.83,30.84,48.7,78.43,2392.0,21.36,0.8498624,2504.0,21.27,0.909989,3032.0,22.17,1.3007615,3034.0,22.91,1.7182918,2515.75,21.700000000000003,7.666690200080086,-0.11361288782828716,-0.15935381343887922,-0.35061730760849574,-0.351276503413513,10,2076.0,1659.0,1420.0,1096.0
