data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,tmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,18.0,18,18,18,0.0,6.2890663,0,1,355240320100119589,2023-08-20,Sumar̩,0.0,286211,21.2857142857143,93.1428571428571,1,,1,76.4912714285714,50.1428571428571,25.0019282857143,31.1428571428571,2,,,,,62107,,,,,,,,,,,,,,,18.0,20.0,27.0,52.0
2010-01-10,201002,18.0,18,18,18,0.0,6.2890663,0,1,355240320100219589,2023-08-20,Sumar̩,0.0,286211,20.1428571428571,94.0,1,,1,77.5372057142857,54.8571428571429,23.9557038571429,29.4285714285714,4,,,,,62107,18.0,21.2857142857143,0.0,,,,,,,,,,,,20.0,27.0,52.0,73.0
2010-01-17,201003,20.0,20,20,20,0.0,6.9878516,0,2,355240320100319589,2023-08-20,Sumar̩,0.0,286211,20.2857142857143,99.1428571428571,1,,1,83.1837132857143,56.8571428571429,23.1957815714286,28.8571428571429,5,,,,,62107,18.0,20.1428571428571,0.0,18.0,21.2857142857143,0.0,,,,,,,,,27.0,52.0,73.0,153.0
2010-01-24,201004,27.0,27,27,27,0.0,9.433599,0,2,355240320100419589,2023-08-20,Sumar̩,0.0,286211,19.5714285714286,96.5714285714286,1,,1,84.1945108571429,65.1428571428571,22.4905087142857,26.8571428571429,16,,,,,62107,20.0,20.2857142857143,0.0,18.0,20.1428571428571,0.0,18.0,21.2857142857143,0.0,,,,20.75,20.321428571428577,52.0,73.0,153.0,151.0
2010-01-31,201005,52.0,52,52,52,0.0,18.168415,0,2,355240320100519589,2023-08-20,Sumar̩,0.0,286211,20.4285714285714,92.2857142857143,1,,1,69.2675774285714,40.7142857142857,25.9899467142857,33.1428571428571,22,,,,,62107,27.0,19.5714285714286,0.0,20.0,20.2857142857143,0.0,18.0,20.1428571428571,0.0,18.0,21.2857142857143,0.0,29.25,20.10714285714285,73.0,153.0,151.0,154.0
2010-02-07,201006,73.0,73,73,73,0.9999571,25.50566,0,2,355240320100619589,2023-08-20,Sumar̩,2.199704,286211,21.2857142857143,89.1428571428571,1,1.0,1,69.0830762857143,44.8571428571429,25.3415934285714,31.0,40,,,,,62107,52.0,20.4285714285714,0.0,27.0,19.5714285714286,0.0,20.0,20.2857142857143,0.0,18.0,20.1428571428571,0.0,43.0,20.39285714285715,153.0,151.0,154.0,140.0
2010-02-14,201007,153.0,153,153,153,1.0,53.457066,0,3,355240320100719589,2023-08-20,Sumar̩,2.8143268,286211,20.8571428571429,93.1428571428571,1,1.0,2,73.2277857142857,51.4285714285714,24.905616,30.2857142857143,81,,,,,62107,73.0,21.2857142857143,2.199704,52.0,20.4285714285714,0.0,27.0,19.5714285714286,0.0,20.0,20.2857142857143,0.0,76.25,20.5357142857143,151.0,154.0,140.0,194.0
2010-02-21,201008,151.0,151,151,151,0.99997693,52.758278,0,3,355240320100819589,2023-08-20,Sumar̩,1.7075992,286211,20.0,92.5714285714286,1,1.0,2,72.9784302857143,52.1428571428571,24.529406,30.1428571428571,77,,,,,62107,153.0,20.8571428571429,2.8143268,73.0,21.2857142857143,2.199704,52.0,20.4285714285714,0.0,27.0,19.5714285714286,0.0,107.25,20.64285714285715,154.0,140.0,194.0,244.0
2010-02-28,201009,154.0,154,154,154,0.9501948,53.806458,0,4,355240320100919589,2023-08-20,Sumar̩,1.2175442,286211,18.7142857142857,92.4285714285714,0,1.0,2,80.7983588571429,67.8571428571429,21.6103865714286,25.1428571428571,82,,,,,62107,151.0,20.0,1.7075992,153.0,20.8571428571429,2.8143268,73.0,21.2857142857143,2.199704,52.0,20.4285714285714,0.0,132.75,20.214285714285722,140.0,194.0,244.0,170.0
2010-03-07,201010,140.0,140,140,140,0.35549885,48.914963,0,4,355240320101019589,2023-08-20,Sumar̩,0.957203,286211,19.5714285714286,84.0,1,0.0,2,59.470756,34.8571428571429,25.5778988571429,31.4285714285714,67,,,,,62107,154.0,18.7142857142857,1.2175442,151.0,20.0,1.7075992,153.0,20.8571428571429,2.8143268,73.0,21.2857142857143,2.199704,149.5,19.785714285714302,194.0,244.0,170.0,197.0
2010-03-14,201011,194.0,194,194,194,0.9899829,67.78216,0,4,355240320101119589,2023-08-20,Sumar̩,1.2854835,286211,19.4285714285714,92.2857142857143,1,1.0,2,72.3993591428572,48.8571428571429,24.0626705714286,29.5714285714286,72,,,,,62107,140.0,19.5714285714286,0.957203,154.0,18.7142857142857,1.2175442,151.0,20.0,1.7075992,153.0,20.8571428571429,2.8143268,159.75,19.428571428571423,244.0,170.0,197.0,173.0
2010-03-21,201012,244.0,244,244,244,0.9999779,85.25179,0,4,355240320101219589,2023-08-20,Sumar̩,1.5055029,286211,20.4285714285714,94.0,1,1.0,2,76.832472,49.8571428571429,24.4353267142857,30.5714285714286,96,,,,,62107,194.0,19.4285714285714,1.2854835,140.0,19.5714285714286,0.957203,154.0,18.7142857142857,1.2175442,151.0,20.0,1.7075992,183.0,19.535714285714274,170.0,197.0,173.0,208.0
2010-03-28,201013,170.0,170,170,170,0.16400227,59.39674,0,4,355240320101319589,2023-08-20,Sumar̩,0.9018834,286211,20.0,95.7142857142857,1,0.0,2,81.3027914285714,58.5714285714286,23.0035677142857,28.2857142857143,88,,,,,62107,244.0,20.4285714285714,1.5055029,194.0,19.4285714285714,1.2854835,140.0,19.5714285714286,0.957203,154.0,18.7142857142857,1.2175442,187.0,19.85714285714285,197.0,173.0,208.0,195.0
2010-04-04,201014,197.0,197,197,197,0.35731438,68.83034,0,4,355240320101419589,2023-08-20,Sumar̩,0.96418726,286211,14.7142857142857,99.1428571428571,0,0.0,2,80.8463232857143,58.5714285714286,18.4613455714286,23.4285714285714,77,,,,,62107,170.0,20.0,0.9018834,244.0,20.4285714285714,1.5055029,194.0,19.4285714285714,1.2854835,140.0,19.5714285714286,0.957203,201.25,18.642857142857125,173.0,208.0,195.0,173.0
2010-04-11,201015,173.0,173,173,173,0.12554087,60.444916,0,4,355240320101519589,2023-08-20,Sumar̩,0.88724655,286211,14.8571428571429,94.0,0,0.0,2,68.7406822857143,38.8571428571429,20.7179088571429,27.7142857142857,38,,,,,62107,197.0,14.7142857142857,0.96418726,170.0,20.0,0.9018834,244.0,20.4285714285714,1.5055029,194.0,19.4285714285714,1.2854835,196.0,17.5,208.0,195.0,173.0,113.0
2010-04-18,201016,208.0,208,208,208,0.85649556,72.67366,0,4,355240320101619589,2023-08-20,Sumar̩,1.1130718,286211,16.5714285714286,92.4285714285714,0,0.0,2,69.0355662857143,44.1428571428571,22.7071132857143,29.2857142857143,62,,,,,62107,173.0,14.8571428571429,0.88724655,197.0,14.7142857142857,0.96418726,170.0,20.0,0.9018834,244.0,20.4285714285714,1.5055029,187.0,16.5357142857143,195.0,173.0,113.0,66.0
2010-04-25,201017,195.0,195,195,195,0.6431502,68.13155,0,4,355240320101719589,2023-08-20,Sumar̩,1.0381761,286211,16.8571428571429,93.1428571428571,0,0.0,2,72.4951551428571,47.7142857142857,21.4027331428571,27.4285714285714,69,,,,,62107,208.0,16.5714285714286,1.1130718,173.0,14.8571428571429,0.88724655,197.0,14.7142857142857,0.96418726,170.0,20.0,0.9018834,193.25,15.750000000000025,173.0,113.0,66.0,52.0
2010-05-02,201018,173.0,173,173,173,0.15008223,60.444916,0,4,355240320101819589,2023-08-20,Sumar̩,0.89735764,286211,15.0,98.2857142857143,0,0.0,2,73.8074145714286,45.1428571428571,21.0347981428571,28.1428571428571,63,,,,,62107,195.0,16.8571428571429,1.0381761,208.0,16.5714285714286,1.1130718,173.0,14.8571428571429,0.88724655,197.0,14.7142857142857,0.96418726,187.25,15.821428571428601,113.0,66.0,52.0,29.0
2010-05-09,201019,113.0,113,113,113,9.9600165e-06,39.48136,0,4,355240320101919589,2023-08-20,Sumar̩,0.6064763,286211,11.2857142857143,98.2857142857143,0,0.0,2,75.9486391428571,48.8571428571429,15.7775917142857,21.8571428571429,32,,,,,62107,173.0,15.0,0.89735764,195.0,16.8571428571429,1.0381761,208.0,16.5714285714286,1.1130718,173.0,14.8571428571429,0.88724655,172.25,14.92857142857145,66.0,52.0,29.0,18.0
2010-05-16,201020,66.0,66,66,66,1.3603563e-10,23.05991,0,4,355240320102019589,2023-08-20,Sumar̩,0.41475302,286211,12.0,97.4285714285714,0,0.0,1,79.0791357142857,56.4285714285714,17.235335,22.7142857142857,18,,,,,62107,113.0,11.2857142857143,0.6064763,173.0,15.0,0.89735764,195.0,16.8571428571429,1.0381761,208.0,16.5714285714286,1.1130718,136.75,13.7857142857143,52.0,29.0,18.0,18.0
2010-05-23,201021,52.0,52,52,52,1.7824483e-07,18.168415,0,1,355240320102119589,2023-08-20,Sumar̩,0.44371432,286211,14.2857142857143,97.4285714285714,0,0.0,1,76.3105577142857,49.5714285714286,18.956522,25.0,13,,,,,62107,66.0,12.0,0.41475302,113.0,11.2857142857143,0.6064763,173.0,15.0,0.89735764,195.0,16.8571428571429,1.0381761,101.0,13.142857142857151,29.0,18.0,18.0,8.0
2010-05-30,201022,29.0,29,29,29,6.124604e-07,10.132385,0,1,355240320102219589,2023-08-20,Sumar̩,0.3715384,286211,12.2857142857143,95.7142857142857,0,0.0,1,74.9538768571429,49.1428571428571,17.387405,23.1428571428571,10,,,,,62107,52.0,14.2857142857143,0.44371432,66.0,12.0,0.41475302,113.0,11.2857142857143,0.6064763,173.0,15.0,0.89735764,65.0,12.464285714285724,18.0,18.0,8.0,6.0
