data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2026-09-13,202637,13.0,13,13,13,1.360069e-07,1.8499044,0,1,354340220263720719,2026-09-23,Ribeiṛo Preto,0.24505912,702739,16.1111,90.721175,0,0.0,0,75.415875,53.9674,20.70295,26.225725,11,,,,,417978
2026-09-06,202636,42.0,42,42,42,0.021662552,5.9766145,0,1,354340220263620719,2026-09-23,Ribeiṛo Preto,0.67193973,702739,17.6160571428571,92.8577571428571,0,0.0,0,80.6689142857143,64.0799285714286,21.2299,25.6407857142857,36,,,,,417978
2026-08-30,202635,56.0,56,56,56,0.20501927,7.968819,0,1,354340220263520719,2026-09-23,Ribeiṛo Preto,0.86117166,702739,18.2884285714286,83.9325714285714,0,0.0,0,56.988,32.8888,24.6040285714286,31.2945571428571,39,,,,,417978
2026-08-23,202634,65.0,65,65,65,0.650298,9.249522,0,1,354340220263420719,2026-09-23,Ribeiṛo Preto,1.0710884,702739,16.8458571428571,77.9710142857143,0,0.0,0,54.6925428571429,32.2784428571429,23.0442142857143,29.9673,20,,,,,417978
2026-08-16,202633,71.0,71,71,71,0.9288847,10.103324,0,1,354340220263320719,2026-09-23,Ribeiṛo Preto,1.2996672,702739,18.0041857142857,67.8488714285714,0,0.0,0,45.7164285714286,25.7927714285714,24.2773857142857,30.8749428571429,10,,,,,417978
2026-08-09,202632,62.0,62,62,62,0.8495824,8.822621,0,1,354340220263220719,2026-09-23,Ribeiṛo Preto,1.214532,702739,18.1557571428571,72.9927714285714,0,0.0,0,52.2684428571429,30.8881571428571,24.4078714285714,31.0583714285714,3,,,,,417978
2026-08-02,202631,50.0,50,50,50,0.45693752,7.115017,0,1,354340220263120719,2026-09-23,Ribeiṛo Preto,0.97880167,702739,16.7075142857143,71.9255714285714,0,0.0,0,51.8159,29.9096285714286,22.506,28.9603285714286,3,,,,,417978
2026-07-26,202630,55.0,55,55,55,0.39446816,7.826519,0,1,354340220263020719,2026-09-23,Ribeiṛo Preto,0.9510164,702739,14.6468,84.6428714285714,0,0.0,0,63.5788714285714,35.8558285714286,20.7974714285714,28.2494142857143,3,,,,,417978
2026-07-19,202629,42.0,42,42,42,0.007524972,5.9766145,0,1,354340220262920719,2026-09-23,Ribeiṛo Preto,0.6250766,702739,14.4190714285714,78.9431142857143,0,0.0,0,60.9964142857143,36.3948571428571,19.7469428571429,26.8528142857143,5,,,,,417978
2026-07-12,202628,59.0,59,59,59,0.12583712,8.3957205,0,1,354340220262820719,2026-09-23,Ribeiṛo Preto,0.81864005,702739,13.0468714285714,77.3883857142857,0,0.0,0,59.5574571428571,38.2421857142857,18.1088142857143,24.5489428571429,7,,,,,417978
2026-07-05,202627,68.0,68,68,68,0.31711587,9.676423,0,1,354340220262720719,2026-09-23,Ribeiṛo Preto,0.9233476,702739,12.2119142857143,89.8112142857143,0,0.0,0,66.4522285714286,41.0166285714286,18.6773,25.3301,3,,,,,417978
2026-06-28,202626,82.0,82,82,82,0.5141663,11.668628,0,1,354340220262620719,2026-09-23,Ribeiṛo Preto,1.0055557,702739,13.9916142857143,88.9045571428571,0,0.0,0,70.8140428571429,46.8140714285714,19.7037,26.1036857142857,5,,,,,417978
2026-06-21,202625,61.0,61,61,61,0.002644424,8.680321,0,1,354340220262520719,2026-09-23,Ribeiṛo Preto,0.6376126,702739,14.2603571428571,95.0611,0,0.0,0,82.4816285714286,62.9556,17.9020142857143,22.4784428571429,7,,,,,417978
2026-06-14,202624,84.0,84,84,84,0.011528598,11.953229,0,1,354340220262420719,2026-09-23,Ribeiṛo Preto,0.7241289,702739,14.2233571428571,92.1074,0,0.0,0,78.3462714285714,56.9202714285714,18.1322571428571,23.4691714285714,9,,,,,417978
2026-06-07,202623,92.0,92,92,92,0.0015445536,13.091632,0,1,354340220262320719,2026-09-23,Ribeiṛo Preto,0.6739954,702739,13.0723571428571,87.4636428571429,0,0.0,0,67.3709,46.3201,18.4462285714286,24.2745571428571,7,,,,,417978
2026-05-31,202622,109.0,109,109,109,0.007361176,15.510737,0,1,354340220262220719,2026-09-23,Ribeiṛo Preto,0.7366849,702739,13.5708285714286,89.1156285714286,0,0.0,0,66.5245714285714,41.0955571428571,18.8977285714286,25.0025142857143,8,,,,,417978
2026-05-24,202621,154.0,154,154,154,0.2867246,21.914253,0,1,354340220262120719,2026-09-23,Ribeiṛo Preto,0.9388768,702739,17.1730714285714,90.6575285714286,0,0.0,0,72.7888857142857,50.7962428571429,21.4730857142857,26.5780285714286,12,,,,,417978
2026-05-17,202620,144.0,144,144,144,0.0010421943,20.49125,0,1,354340220262020719,2026-09-23,Ribeiṛo Preto,0.7165358,702739,17.1075142857143,92.1705285714286,0,0.0,0,80.2997285714286,62.7780285714286,20.6272428571429,24.6396142857143,9,,,,,417978
